date,symbol,open,high,low,close,volume
2026-01-05,600519,100.0,100.8,99.4,100.0,120000
2026-01-05,000001,10.0,10.1,9.9,10.0,850000
2026-01-05,300750,200.0,201.0,198.5,200.0,310000
2026-01-06,600519,100.2,101.5,99.8,101.0,125000
2026-01-06,000001,10.0,10.2,9.9,10.1,820000
2026-01-06,300750,199.5,200.0,197.0,198.0,330000
2026-01-07,600519,101.1,102.5,100.7,102.0,130000
2026-01-07,000001,10.1,10.2,9.9,10.0,900000
2026-01-07,300750,198.2,200.0,197.5,199.0,315000
2026-01-08,600519,102.0,103.5,101.7,103.0,128000
2026-01-08,000001,10.0,10.3,9.9,10.2,880000
2026-01-08,300750,199.0,202.0,198.7,201.0,340000
2026-01-09,600519,103.2,104.5,102.8,104.0,132000
2026-01-09,000001,10.2,10.3,10.0,10.1,860000
2026-01-09,300750,201.5,206.0,201.0,205.0,360000
2026-01-12,600519,104.0,105.6,103.7,105.0,135000
2026-01-12,000001,10.1,10.2,9.9,10.0,910000
2026-01-12,300750,205.0,211.0,204.5,210.0,390000
2026-01-13,600519,105.0,105.2,103.5,104.0,140000
2026-01-13,000001,10.0,10.1,9.8,9.9,950000
2026-01-13,300750,210.5,216.0,209.8,215.0,410000
2026-01-14,600519,104.2,106.5,104.0,106.0,145000
2026-01-14,000001,9.9,10.2,9.8,10.1,920000
2026-01-14,300750,215.0,216.0,212.5,214.0,400000
2026-01-15,600519,106.0,108.5,105.8,108.0,150000
2026-01-15,000001,10.1,10.2,9.9,10.0,890000
2026-01-15,300750,214.5,219.0,214.0,218.0,420000
2026-01-16,600519,108.2,109.5,107.7,109.0,155000
2026-01-16,000001,10.0,10.3,9.9,10.2,930000
2026-01-16,300750,218.0,221.0,217.5,220.0,430000

